CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName AN CE DS HP NE SA SC SR
AN 0.889885 AN AN 3.847278 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.568584 0.000697 0.262502 0.140579 0.000059 0.003806 0.021127 0.002647
AN 0.877837 AN HP 2.611383 3.606621 3.606621 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.760076 0.000288 0.046584 0.188163 0.000087 0.002939 0.001249 0.000616
AN 0.893054 AN AN 4.547730 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.811088 0.000196 0.100697 0.073921 0.000158 0.012265 0.001087 0.000589
AN 0.793883 AN AN 3.828654 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.578999 0.000755 0.295425 0.100372 0.000100 0.002689 0.020121 0.001539
AN 0.630828 DS DS 4.875286 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.437098 0.001024 0.345366 0.105149 0.000233 0.010003 0.098540 0.002587
AN 0.699129 DS AN 3.320176 3.606621 3.606621 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.306935 0.000970 0.564318 0.068537 0.000247 0.007632 0.049704 0.001657
AN 0.766090 AN AN 3.655690 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.464185 0.001493 0.474269 0.048708 0.000124 0.004847 0.004852 0.001522
AN 0.631981 HP AN 1.167211 3.606621 3.606621 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.383291 0.001137 0.274626 0.331318 0.000121 0.003622 0.001904 0.003981
AN 0.911176 DS DS 8.032688 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.204400 0.001379 0.505613 0.265705 0.000201 0.015759 0.003142 0.003800
AN 0.644437 AN DS 4.213583 3.606621 3.606621 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.249946 0.008113 0.399341 0.011369 0.000697 0.085130 0.201425 0.043979
