CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName AN CE DS HP NE SA SC SR
SA 0.725071 SA DS 0.499003 3.399881 3.399881 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1SA/DSC_0760.JPG 0.098470 0.016920 0.104603 0.059700 0.013526 0.437219 0.140601 0.128962
SR 0.697017 AN AN 6.747265 3.399881 3.399881 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK4/S3MK4SR/DSC_0257_01.JPG 0.557376 0.000730 0.202579 0.001023 0.000695 0.134772 0.100049 0.002775
CE 0.967630 CE CE 7.403341 3.399881 3.399881 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK5/S1MK5CE/DSC_0588_01.JPG 0.000736 0.715847 0.000443 0.000273 0.006469 0.123721 0.148536 0.003974
SR 0.884476 SR SR 6.439250 3.399881 3.399881 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2SR/DSC_0101.JPG 0.000370 0.000195 0.000206 0.000287 0.000884 0.000410 0.274712 0.722937
NE 0.935606 SA SA 5.183187 3.399881 3.399881 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1NE/DSC_0008.JPG 0.015879 0.159102 0.096998 0.019009 0.003472 0.677456 0.003452 0.024632
SR 0.746890 SC DS 0.753218 3.399881 3.399881 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1SR/DSC_0071.JPG 0.123136 0.001917 0.213757 0.012902 0.021322 0.102318 0.247709 0.276938
SA 0.760199 HP AN -3.453088 3.399881 3.399881 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1SA/DSC_0065_01.JPG 0.092166 0.006138 0.117986 0.511219 0.001908 0.002995 0.064479 0.203109
SC 0.883200 SC SC 2.817464 3.399881 3.399881 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S13/S13MK1/S13MK1SC/DSC_0643_01.JPG 0.015002 0.000465 0.260848 0.136449 0.000425 0.001182 0.565639 0.019991
CE 0.964664 CE CE 4.902330 3.399881 3.399881 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S10/S10NM2/S10NM2CE/DSC_0927.JPG 0.254705 0.718660 0.019487 0.000683 0.000015 0.000197 0.005879 0.000374
AN 0.739008 AN DS 1.049427 3.399881 3.399881 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK1/S3MK1AN/DSC_0156_01.JPG 0.381945 0.001575 0.166082 0.082669 0.067684 0.016099 0.093781 0.190165
