CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S7 0.441359 S7 S14 2.252874 3.835423 3.835423 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM3/DSC_0080_01.JPG 0.004390 0.001694 0.009470 0.007545 0.002429 0.238039 0.005381 0.000854 0.076519 0.198537 0.008301 0.016010 0.147247 0.032305 0.008194 0.021047 0.000937 0.005178 0.212625 0.001740 0.001558
S1 0.987554 S6 S1 0.267404 3.835423 3.835423 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK7/DSC_0202.JPG 0.005935 0.005816 0.002092 0.000377 0.002213 0.000310 0.000173 0.000227 0.000140 0.000091 0.000708 0.000140 0.001289 0.000365 0.001231 0.000778 0.106311 0.859381 0.000100 0.000833 0.011489
S7 0.967241 S7 S7 6.822753 3.835423 3.835423 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK1/DSC_0469_01.JPG 0.003510 0.001028 0.003387 0.001596 0.001853 0.005333 0.000906 0.000514 0.001305 0.082130 0.004175 0.006353 0.022773 0.012455 0.002791 0.000786 0.000863 0.001136 0.844650 0.000687 0.001770
S7 0.985543 S7 S7 6.686475 3.835423 3.835423 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK3/DSC_0386.JPG 0.000162 0.000148 0.000227 0.000634 0.000127 0.000027 0.000163 0.000074 0.000245 0.006291 0.000402 0.000225 0.000207 0.000607 0.001190 0.000200 0.000024 0.000030 0.985543 0.003371 0.000104
S5 0.746216 S5 S5 4.824554 3.835423 3.835423 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S5/S5NM4/DSC_0793.JPG 0.022980 0.002522 0.003366 0.001858 0.131121 0.000487 0.000325 0.001005 0.000551 0.000525 0.000952 0.002237 0.009504 0.002217 0.003190 0.001923 0.582089 0.070905 0.001540 0.001130 0.159573
S10 0.999981 S10 S10 6.830524 3.835423 3.835423 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK1/DSC_0328.JPG 0.000001 0.999981 0.000001 0.000000 0.000001 0.000001 0.000000 0.000003 0.000000 0.000000 0.000000 0.000001 0.000000 0.000001 0.000001 0.000000 0.000005 0.000000 0.000001 0.000001 0.000002
S1 0.802780 S1 S1 6.096071 3.835423 3.835423 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK1/DSC_0691_01.JPG 0.693673 0.009049 0.002553 0.002576 0.025336 0.002424 0.001323 0.004997 0.004564 0.004089 0.043895 0.017881 0.002028 0.004823 0.016623 0.003203 0.065628 0.001873 0.052092 0.008606 0.032765
S6 0.999531 S6 S6 6.807977 3.835423 3.835423 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S6/S6MK2/DSC_0553.JPG 0.000035 0.000098 0.000002 0.000020 0.000040 0.000006 0.000001 0.000008 0.000002 0.000002 0.000004 0.000004 0.000075 0.000003 0.000022 0.000017 0.000062 0.999531 0.000031 0.000002 0.000036
S2 0.951251 S18 S1 -0.048647 3.835423 3.835423 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2NM2/DSC_0449.JPG 0.000284 0.000315 0.000356 0.003769 0.000747 0.012510 0.001759 0.000202 0.113197 0.838300 0.001222 0.001945 0.012542 0.002699 0.000854 0.000460 0.000708 0.001268 0.005045 0.001690 0.000127
S11 0.726208 S11 S11 4.015301 3.835423 3.835423 1 1 1 4.000000 /home/sielicki/data/BC2_1072x712/S11/S11NM3/DSC_0567_17019.JPG 0.001335 0.141339 0.439611 0.005419 0.007002 0.004267 0.006898 0.015452 0.000972 0.046480 0.001410 0.002298 0.000845 0.005087 0.176821 0.001028 0.028320 0.000718 0.020105 0.093169 0.001424
