CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S3 0.997201 S3 S3 6.960688 4.315214 4.315214 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK4/DSC_0296_01.JPG 0.000094 0.000153 0.000426 0.000021 0.000290 0.000057 0.000018 0.000039 0.000041 0.000011 0.000121 0.000108 0.000148 0.000099 0.997201 0.000091 0.000578 0.000045 0.000041 0.000226 0.000193
S10 0.854888 S1 S1 1.699839 4.315214 4.315214 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK2/DSC_0880.JPG 0.442578 0.056490 0.002530 0.304279 0.009087 0.003031 0.004335 0.003632 0.001115 0.000787 0.003459 0.001918 0.004388 0.010747 0.003752 0.079839 0.029805 0.006197 0.004376 0.013408 0.014247
S17 0.821270 S17 S17 6.004071 4.315214 4.315214 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S17/S17MK1/DSC_0890.JPG 0.005023 0.001160 0.001433 0.004518 0.007738 0.019691 0.003781 0.001437 0.821270 0.002424 0.015724 0.038014 0.002676 0.007536 0.002367 0.002753 0.002579 0.004103 0.047899 0.001693 0.006181
S6 0.947993 S6 S6 6.257799 4.315214 4.315214 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S6/S6MK1/DSC_0459_01.JPG 0.003632 0.021309 0.000669 0.075210 0.001801 0.000377 0.000246 0.000246 0.000495 0.000618 0.000219 0.000446 0.014011 0.000862 0.007955 0.001491 0.005852 0.860880 0.000956 0.000398 0.002330
S1 0.921973 S1 S1 6.823476 4.315214 4.315214 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK5/DSC_0577_01.JPG 0.834308 0.000701 0.000840 0.004607 0.002716 0.058335 0.002679 0.000745 0.004439 0.000306 0.013277 0.003023 0.000968 0.000789 0.002372 0.004841 0.028151 0.003267 0.027708 0.001170 0.004759
S7 0.614282 S14 S14 4.388797 4.315214 4.315214 1 1 1 2.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM3/DSC_0016_01.JPG 0.030685 0.006516 0.037584 0.010742 0.009572 0.399567 0.090424 0.004952 0.024150 0.062612 0.024351 0.031368 0.056410 0.023406 0.006673 0.008330 0.005650 0.007500 0.142972 0.008352 0.008186
S2 0.919240 S18 S1 -0.142989 4.315214 4.315214 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2NM2/DSC_0451.JPG 0.001474 0.000037 0.000159 0.001761 0.000185 0.007083 0.001398 0.000131 0.000265 0.810484 0.000469 0.003815 0.135629 0.018905 0.000458 0.000107 0.000228 0.000188 0.016749 0.000397 0.000080
S2 0.600769 S7 S18 0.814515 4.315214 4.315214 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2GL1/DSC_0954.JPG 0.000982 0.000520 0.002795 0.013720 0.002443 0.029809 0.058836 0.001910 0.001572 0.149848 0.002373 0.021776 0.251547 0.075580 0.004619 0.000705 0.000616 0.010106 0.347043 0.022476 0.000724
S2 0.794234 S7 S7 3.707076 4.315214 4.315214 1 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2HD1/DSC_0132.JPG 0.002794 0.000899 0.001749 0.099168 0.003125 0.035927 0.025396 0.007557 0.001259 0.073877 0.001172 0.019325 0.094133 0.082802 0.026082 0.001135 0.002028 0.038247 0.475007 0.007065 0.001254
S12 0.491451 S21 S10 1.039716 4.315214 4.315214 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S12/S12NM2/DSC_0719.JPG 0.021132 0.135489 0.006711 0.070431 0.008180 0.270105 0.001324 0.001981 0.003631 0.096903 0.005234 0.001944 0.067663 0.213788 0.017085 0.010735 0.009279 0.030246 0.000559 0.003746 0.023834
S6 0.810628 S6 S6 4.700565 4.315214 4.315214 1 1 1 4.000000 /home/sielicki/data/BC2_1072x712/S6/S6MK1/DSC_0440_01.JPG 0.030823 0.004026 0.000635 0.063446 0.006552 0.014601 0.001601 0.000346 0.000990 0.005091 0.002436 0.007052 0.195760 0.004938 0.034258 0.023099 0.006154 0.565985 0.005681 0.000808 0.025718
S11 0.676278 S11 S11 5.873466 4.315214 4.315214 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S11/S11NM3/DSC_0708_17160.JPG 0.000966 0.073512 0.587799 0.015715 0.008869 0.003205 0.010145 0.013957 0.004834 0.165265 0.000635 0.007567 0.001947 0.018576 0.059586 0.001615 0.011269 0.000840 0.002865 0.009938 0.000896
S4 0.874198 S4 S4 7.087552 4.315214 4.315214 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S4/S4GL1/DSC_0359.JPG 0.008010 0.006148 0.001550 0.000798 0.003346 0.002812 0.000565 0.001136 0.001353 0.000397 0.004298 0.002247 0.017661 0.002304 0.002721 0.874198 0.008516 0.030650 0.002803 0.002342 0.026148
S1 0.906753 S1 S1 6.904542 4.315214 4.315214 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK4/DSC_0039_01.JPG 0.906753 0.000554 0.000721 0.001279 0.002323 0.010548 0.001555 0.000483 0.001653 0.000379 0.005699 0.002053 0.003671 0.002073 0.000986 0.009997 0.026008 0.001444 0.014832 0.001680 0.005308
S1 0.941717 S1 S1 6.896794 4.315214 4.315214 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK6/DSC_0275.JPG 0.941717 0.000146 0.000542 0.001292 0.000560 0.001161 0.002473 0.001095 0.000214 0.002112 0.000594 0.002177 0.000114 0.015212 0.000167 0.001235 0.004358 0.000036 0.022084 0.000957 0.001754
S21 0.859380 S6 S6 3.092570 4.315214 4.315214 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S21/S21MK1/DSC_0837_01.JPG 0.005520 0.029504 0.003319 0.013151 0.021906 0.004609 0.001457 0.001189 0.001442 0.000408 0.005231 0.004125 0.049481 0.143216 0.011404 0.116093 0.050332 0.338460 0.002476 0.002653 0.194024
S1 0.989076 S1 S1 6.739223 4.315214 4.315214 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK6/DSC_0255.JPG 0.756136 0.000089 0.000115 0.000972 0.000424 0.001563 0.000955 0.000805 0.000324 0.000594 0.001432 0.002436 0.000767 0.007536 0.000716 0.000729 0.001296 0.000158 0.220720 0.001038 0.001195
S1 0.571530 S9 S9 4.483076 4.315214 4.315214 1 1 1 1.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK8/DSC_0825.JPG 0.119517 0.022808 0.020520 0.001069 0.093735 0.015705 0.004463 0.003098 0.005737 0.008893 0.163577 0.163039 0.019128 0.014573 0.017475 0.005784 0.022866 0.003177 0.008326 0.020867 0.265642
S7 0.723438 S7 S7 4.692550 4.315214 4.315214 1 1 1 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK2/DSC_0688.JPG 0.006082 0.085275 0.003102 0.038624 0.045366 0.014604 0.007153 0.093631 0.008424 0.002032 0.006576 0.056156 0.007172 0.010559 0.090975 0.001935 0.037064 0.002294 0.412436 0.012964 0.057576
S10 0.727509 S4 S4 3.689192 4.315214 4.315214 1 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK2/DSC_0961.JPG 0.058423 0.177169 0.005123 0.143109 0.029959 0.002862 0.001792 0.002153 0.001134 0.000454 0.001748 0.003107 0.006334 0.063707 0.005084 0.358240 0.040533 0.005155 0.015170 0.070902 0.007841
S7 0.751815 S10 S10 2.604090 4.315214 4.315214 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK2/DSC_0586.JPG 0.009357 0.225108 0.001683 0.125002 0.044615 0.009500 0.003171 0.240002 0.004984 0.000547 0.015407 0.077621 0.004959 0.004529 0.027723 0.001377 0.028165 0.002085 0.044322 0.006891 0.122952
S3 0.585834 S3 S8 1.188555 4.315214 4.315214 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK5/DSC_0476_01.JPG 0.031546 0.001990 0.002530 0.006136 0.017878 0.004703 0.001826 0.000492 0.001251 0.012827 0.009725 0.003060 0.299453 0.092587 0.257178 0.000685 0.009962 0.001679 0.003835 0.232293 0.008364
