CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S7 0.766901 S7 S7 4.576713 4.286260 4.286260 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S7/S7HD1/DSC_0166.JPG 0.000114 0.000139 0.000703 0.001676 0.000611 0.002838 0.000308 0.000200 0.003814 0.338573 0.007103 0.031132 0.003450 0.031365 0.004301 0.000291 0.000709 0.000730 0.566665 0.004824 0.000453
S1 0.585476 S9 S9 2.635319 4.286260 4.286260 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK3/DSC_0389.JPG 0.168323 0.095635 0.007635 0.000674 0.008024 0.019050 0.003050 0.140982 0.025855 0.028587 0.002261 0.001124 0.003216 0.000776 0.144698 0.102888 0.017969 0.001515 0.000966 0.003794 0.222979
S5 0.740177 S5 S5 6.178195 4.286260 4.286260 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S5/S5MK4/DSC_0669.JPG 0.001560 0.004253 0.064594 0.000830 0.062733 0.001366 0.016811 0.017901 0.001931 0.009091 0.001129 0.000822 0.001052 0.000748 0.019153 0.017313 0.740177 0.002043 0.011298 0.020550 0.004646
S6 0.861713 S6 S6 6.533312 4.286260 4.286260 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S6/S6MK1/DSC_0418_01.JPG 0.001180 0.001623 0.000226 0.011545 0.002639 0.001129 0.000639 0.000463 0.000582 0.000675 0.000450 0.006980 0.035700 0.000436 0.002780 0.001645 0.053207 0.861713 0.012677 0.000236 0.003475
S5 0.987429 S5 S5 6.319920 4.286260 4.286260 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S5/S5MK1/DSC_0352_01.JPG 0.001308 0.000022 0.000073 0.012509 0.000301 0.000162 0.001601 0.000130 0.000068 0.000198 0.000039 0.001059 0.068939 0.000111 0.000084 0.000194 0.904642 0.000196 0.006980 0.000852 0.000531
S7 0.549711 S7 S7 3.586590 4.286260 4.286260 1 0 0 4.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM3/DSC_0034_01.JPG 0.029344 0.000895 0.002864 0.001901 0.010672 0.323554 0.002752 0.002470 0.077700 0.079965 0.031850 0.011430 0.016755 0.003256 0.008235 0.001111 0.007826 0.010511 0.373069 0.001522 0.002319
S1 0.999990 S1 S1 6.948363 4.286260 4.286260 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0414.JPG 0.999990 0.000000 0.000000 0.000000 0.000000 0.000003 0.000000 0.000000 0.000001 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S5 0.723635 S5 S5 6.047326 4.286260 4.286260 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S5/S5MK4/DSC_0547.JPG 0.002227 0.033122 0.072359 0.002365 0.047432 0.002274 0.007267 0.012893 0.000984 0.000118 0.000301 0.000337 0.000900 0.005746 0.016250 0.011427 0.723635 0.005092 0.000912 0.009895 0.044463
S1 0.532657 S20 S20 2.556051 4.286260 4.286260 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK8/DSC_0831.JPG 0.150680 0.006672 0.008235 0.001139 0.012395 0.001938 0.001702 0.003300 0.003342 0.142939 0.003597 0.028592 0.208332 0.099497 0.164727 0.001057 0.007908 0.001076 0.003186 0.006427 0.143259
S10 0.581713 S14 S14 1.720338 4.286260 4.286260 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK4/DSC_0783_01.JPG 0.161961 0.028673 0.027119 0.052789 0.036531 0.195663 0.004183 0.002323 0.006892 0.002659 0.004200 0.003940 0.008569 0.007674 0.157628 0.007390 0.116561 0.013867 0.037576 0.106907 0.016896
S11 0.999987 S11 S11 6.948348 4.286260 4.286260 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S11/S11MK1/DSC_0041_01.JPG 0.000000 0.000000 0.999987 0.000000 0.000000 0.000000 0.000002 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000003 0.000000 0.000004 0.000000 0.000000 0.000001 0.000000
S7 0.736739 S1 S7 2.402240 4.286260 4.286260 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM1/DSC_0706.JPG 0.424706 0.000567 0.001408 0.000202 0.005788 0.001566 0.000976 0.000869 0.102267 0.008211 0.137248 0.001136 0.000820 0.000273 0.041406 0.000519 0.001616 0.001211 0.265477 0.001561 0.002171
