CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName AN CE DS HP NE SA SC SR
HP 0.850575 HP HP 3.503494 3.513482 3.513482 1 0 0 6.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD1/S7HD1HP/DSC_0151.JPG 0.207039 0.000128 0.018277 0.771301 0.000145 0.000049 0.001342 0.001720
DS 0.830973 DS DS 5.071633 3.513482 3.513482 1 1 1 4.000000 /home/sielicki/data/BC2E_1072x712/S5/S5MK2/S5MK2DS/DSC_0683.JPG 0.313784 0.147028 0.511424 0.007183 0.000948 0.017587 0.000179 0.001867
CE 0.995055 CE CE 6.673949 3.513482 3.513482 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK1/S6MK1CE/DSC_0404_01.JPG 0.000136 0.995055 0.002886 0.000633 0.000102 0.001000 0.000111 0.000078
CE 0.940616 CE CE 3.274641 3.513482 3.513482 0 0 0 3.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK4/S3MK4CE/DSC_0214_01.JPG 0.048522 0.456728 0.182424 0.003015 0.002241 0.284258 0.021385 0.001427
SA 0.721509 DS CE -1.215692 3.513482 3.513482 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK8/S1MK8SA/DSC_0739.JPG 0.014222 0.138533 0.391842 0.033337 0.007043 0.241845 0.131907 0.041271
SA 0.760513 SC SC 3.006629 3.513482 3.513482 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S4/S4MK1/S4MK1SA/DSC_0533.JPG 0.153951 0.000310 0.027002 0.112050 0.108445 0.050608 0.311187 0.236447
HP 0.804382 AN AN 3.428833 3.513482 3.513482 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S4/S4GL1/S4GL1HP/DSC_0395.JPG 0.548920 0.007307 0.080933 0.086314 0.144685 0.103535 0.025984 0.002322
CE 0.890703 CE CE 4.519126 3.513482 3.513482 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2CE/DSC_0917_01.JPG 0.004298 0.693180 0.179050 0.107710 0.003574 0.008682 0.001536 0.001970
NE 0.695290 AN DS 1.923466 3.513482 3.513482 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK3/S1MK3NE/DSC_0347.JPG 0.381949 0.083694 0.407235 0.061889 0.000566 0.010893 0.041090 0.012685
DS 0.803936 DS SC 2.399886 3.513482 3.513482 0 0 0 6.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD1/S7HD1DS/DSC_0222.JPG 0.004703 0.001520 0.753901 0.008453 0.004757 0.080331 0.144895 0.001441
NE 0.681442 CE AN 0.989059 3.513482 3.513482 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S5/S5MK2/S5MK2NE/DSC_0518.JPG 0.101431 0.305658 0.478529 0.045928 0.003318 0.060168 0.001476 0.003492
