CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName AN CE DS HP NE SA SC SR
AN 0.745428 DS DS 3.868574 3.456649 3.456649 1 1 1 2.000000 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1AN/DSC_0835.JPG 0.285433 0.025342 0.535105 0.014924 0.001085 0.001682 0.124052 0.012376
SA 0.899898 DS DS 2.585437 3.456649 3.456649 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1SA/DSC_0433_01.JPG 0.164643 0.140691 0.438698 0.001441 0.000064 0.243259 0.009206 0.001999
CE 0.752961 HP HP 4.670783 3.456649 3.456649 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1CE/DSC_0046_01.JPG 0.084179 0.035381 0.372031 0.453584 0.002363 0.003908 0.046817 0.001737
HP 0.787314 DS DS 4.510521 3.456649 3.456649 1 1 1 2.000000 /home/sielicki/data/BC2E_1072x712/S6/S6MK2/S6MK2HP/DSC_0486.JPG 0.040417 0.000327 0.537926 0.310238 0.002483 0.002766 0.006468 0.099375
CE 0.915314 CE CE 6.383031 3.456649 3.456649 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2CE/DSC_0746.JPG 0.003077 0.915314 0.040135 0.024207 0.003118 0.005858 0.003915 0.004376
CE 0.790909 CE SA 0.311384 3.456649 3.456649 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK3/S3MK3CE/DSC_0214_01.JPG 0.006403 0.490671 0.001431 0.011622 0.236210 0.217601 0.032107 0.003956
SA 0.688220 DS SR 4.212837 3.456649 3.456649 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S11/S11MK2/S11MK2SA/DSC_0266.JPG 0.136767 0.198858 0.205454 0.101638 0.000271 0.003790 0.126417 0.226806
AN 0.566716 SR AN 0.966226 3.456649 3.456649 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S7/S7MK2/S7MK2AN/DSC_0682.JPG 0.228680 0.025863 0.222409 0.152331 0.000606 0.005539 0.049175 0.315397
CE 0.570250 SC SC 4.243671 3.456649 3.456649 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S17/S17MK1/S17MK1CE/DSC_0901.JPG 0.249086 0.000334 0.112359 0.002805 0.007480 0.018417 0.261712 0.347806
NE 0.973779 NE SA 1.913600 3.456649 3.456649 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK5/S1MK5NE/DSC_0571_01.JPG 0.029275 0.001209 0.000323 0.002090 0.620796 0.224153 0.046053 0.076100
CE 0.965608 DS DS 4.199039 3.456649 3.456649 1 1 1 1.000000 /home/sielicki/data/BC2E_1072x712/S15/S15MK1/S15MK1CE/DSC_0091.JPG 0.126520 0.203052 0.525616 0.001444 0.004150 0.001653 0.136356 0.001208
DS 0.600005 HP HP 4.352839 3.456649 3.456649 1 1 1 2.000000 /home/sielicki/data/BC2E_1072x712/S12/S12MK1/S12MK1DS/DSC_0335.JPG 0.008456 0.013357 0.361764 0.492962 0.024238 0.032848 0.000625 0.065750
DS 0.898509 DS AN 1.189598 3.456649 3.456649 0 0 0 7.000000 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1DS/DSC_0543_01.JPG 0.006170 0.000173 0.898509 0.035283 0.000032 0.055991 0.003637 0.000205
SR 0.906184 HP SR 1.089707 3.456649 3.456649 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S5/S5MK1/S5MK1SR/DSC_0262_01.JPG 0.000221 0.000729 0.000731 0.389704 0.385974 0.000091 0.000130 0.222420
