CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S5 0.934486 S5 S5 6.914624 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S5/S5NM4/DSC_0771.JPG 0.003098 0.037126 0.000725 0.000143 0.003848 0.000769 0.000182 0.000143 0.000199 0.000007 0.000066 0.005992 0.000080 0.000092 0.000632 0.000451 0.934486 0.001890 0.000115 0.001160 0.008796
S10 0.990860 S10 S10 6.098412 4.181612 4.181612 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK4/DSC_0888_01.JPG 0.002217 0.855865 0.001698 0.001699 0.000853 0.000864 0.001132 0.000315 0.012406 0.001579 0.000581 0.001009 0.001496 0.003029 0.104935 0.000802 0.000711 0.003063 0.002384 0.001372 0.001987
S1 0.938612 S1 S1 6.561151 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK4/DSC_0899_01.JPG 0.938612 0.019703 0.000951 0.000490 0.009974 0.004704 0.002086 0.000764 0.001063 0.000116 0.001214 0.002833 0.000285 0.001106 0.001567 0.000875 0.003476 0.003270 0.002852 0.002882 0.001175
S2 0.895318 S2 S2 3.006709 4.181612 4.181612 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S2/S2GL1/DSC_0960.JPG 0.005900 0.005154 0.001303 0.000840 0.002054 0.006703 0.016780 0.000662 0.002679 0.001845 0.005818 0.485031 0.170494 0.011144 0.001831 0.033424 0.002177 0.003228 0.005758 0.094842 0.142334
S11 0.910220 S11 S11 6.781661 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S11/S11NM3/DSC_0630_17082.JPG 0.000514 0.016727 0.910220 0.001143 0.001864 0.003634 0.006523 0.001768 0.000761 0.005029 0.000503 0.001176 0.000832 0.017764 0.012943 0.000840 0.001371 0.000853 0.004302 0.010522 0.000712
S12 0.828262 S12 S12 5.998408 4.181612 4.181612 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S12/S12NM2/DSC_0837.JPG 0.018163 0.004326 0.000228 0.692779 0.002454 0.068788 0.000708 0.000087 0.001072 0.121376 0.006877 0.000117 0.002136 0.061828 0.000228 0.001027 0.001918 0.010916 0.000319 0.003502 0.001149
S11 0.998996 S11 S11 6.968249 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S11/S11MK1/DSC_0155_01.JPG 0.000001 0.000050 0.998996 0.000000 0.000016 0.000004 0.000402 0.000079 0.000003 0.000001 0.000001 0.000051 0.000001 0.000006 0.000161 0.000014 0.000035 0.000000 0.000115 0.000062 0.000002
S18 0.689651 S18 S18 3.787842 4.181612 4.181612 1 0 0 6.000000 /home/sielicki/data/BC2_1072x712/S18/S18MK1/DSC_0407.JPG 0.000191 0.001102 0.002079 0.005821 0.000127 0.211562 0.014045 0.000655 0.004077 0.598568 0.001962 0.046164 0.007860 0.029775 0.008281 0.001115 0.009847 0.026106 0.010898 0.019451 0.000313
S6 0.998059 S6 S6 6.953221 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S6/S6MK2/DSC_0514.JPG 0.000180 0.001008 0.000002 0.000013 0.000139 0.000017 0.000001 0.000000 0.000010 0.000000 0.000004 0.000001 0.000224 0.000123 0.000009 0.000066 0.000025 0.998059 0.000002 0.000000 0.000118
S1 0.803141 S1 S1 4.617848 4.181612 4.181612 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK2/DSC_0913.JPG 0.598155 0.002585 0.002022 0.003436 0.003158 0.091978 0.007658 0.002925 0.010866 0.014648 0.016895 0.007338 0.001742 0.020326 0.007360 0.001447 0.067853 0.007220 0.117013 0.003893 0.011483
S1 0.829485 S1 S1 4.161192 4.181612 4.181612 1 0 0 4.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK2/DSC_0013_01.JPG 0.547666 0.015200 0.006170 0.006196 0.007022 0.040882 0.012249 0.006596 0.009293 0.004986 0.077364 0.009192 0.004437 0.015380 0.010448 0.004251 0.088393 0.023935 0.069733 0.016557 0.024052
S3 0.951651 S3 S3 5.992208 4.181612 4.181612 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK5/DSC_0414_01.JPG 0.000038 0.006847 0.000874 0.007073 0.000187 0.000359 0.000045 0.000026 0.000402 0.007926 0.000075 0.002413 0.000225 0.003124 0.815878 0.000564 0.000770 0.000170 0.032803 0.120149 0.000049
S3 0.996073 S3 S3 6.958449 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK4/DSC_0315_01.JPG 0.000003 0.000238 0.001656 0.000044 0.000022 0.000041 0.000044 0.000018 0.000015 0.000094 0.000007 0.000077 0.000029 0.000082 0.996073 0.000024 0.000011 0.000068 0.001426 0.000021 0.000007
S10 0.730441 S10 S10 5.876283 4.181612 4.181612 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK3/DSC_0097.JPG 0.010986 0.730441 0.005501 0.046481 0.004910 0.010451 0.017168 0.004187 0.006126 0.002513 0.001265 0.021676 0.004931 0.003215 0.042222 0.003755 0.012072 0.013145 0.015237 0.037276 0.006443
S20 0.518798 S2 S17 1.121517 4.181612 4.181612 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S20/S20MK1/DSC_0356.JPG 0.006791 0.060435 0.046387 0.027838 0.014767 0.062451 0.015271 0.006435 0.174590 0.092803 0.007506 0.162605 0.058518 0.022758 0.022212 0.053112 0.015942 0.094635 0.010427 0.030364 0.014153
S16 0.984819 S16 S16 5.098605 4.181612 4.181612 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S16/S16MK1/DSC_0395.JPG 0.000214 0.005857 0.007435 0.000043 0.000169 0.000045 0.000568 0.751387 0.000555 0.000777 0.000111 0.080129 0.000034 0.016877 0.043578 0.000479 0.001865 0.000020 0.003032 0.086751 0.000074
