CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S1 0.859389 S1 S1 6.645292 4.174992 4.174992 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1NM2/DSC_0761.JPG 0.859389 0.000798 0.001503 0.001838 0.004812 0.057095 0.002619 0.001711 0.007622 0.006519 0.010689 0.001650 0.002867 0.000498 0.000766 0.000910 0.002731 0.002449 0.025532 0.002237 0.005765
S11 0.778083 S11 S11 5.320637 4.174992 4.249823 1 1 1 5.000000 /home/sielicki/data/BC2_1072x712/S11/S11NM3/DSC_0623_17075.JPG 0.002399 0.047804 0.596519 0.096822 0.053309 0.009607 0.063581 0.004187 0.002402 0.069603 0.001183 0.004924 0.001760 0.008740 0.009140 0.001575 0.009455 0.001369 0.006265 0.006228 0.003126
S7 0.632059 S7 S16 1.899027 4.174992 4.350760 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK2/DSC_0636.JPG 0.083553 0.028916 0.008875 0.008390 0.095853 0.006558 0.015593 0.313160 0.004986 0.002078 0.003722 0.017952 0.004644 0.007251 0.003936 0.003281 0.024691 0.001769 0.307127 0.045094 0.012572
S7 0.974693 S18 S21 0.779669 4.174992 4.450675 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7HD2/DSC_0340.JPG 0.000585 0.000115 0.000771 0.003779 0.002473 0.035968 0.000713 0.000224 0.000888 0.469885 0.032137 0.002027 0.019211 0.046986 0.001087 0.000322 0.000331 0.000372 0.381175 0.000356 0.000597
S5 0.664170 S9 S9 1.547628 4.174992 4.532235 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S5/S5MK3/DSC_0133_01.JPG 0.032960 0.101138 0.018913 0.012800 0.030033 0.117578 0.004743 0.008010 0.001842 0.000894 0.139948 0.006674 0.003971 0.024972 0.017306 0.021146 0.159576 0.013391 0.003414 0.056012 0.224678
S21 0.743555 S6 S1 0.106747 4.174992 4.542687 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S21/S21MK1/DSC_0816_01.JPG 0.011895 0.020153 0.001860 0.027154 0.039255 0.003676 0.001417 0.001375 0.001309 0.001028 0.007860 0.003148 0.075517 0.105568 0.007854 0.154801 0.026457 0.364807 0.082995 0.004766 0.057103
S4 0.784257 S6 S6 4.649582 4.174992 4.553671 1 1 1 0.000000 /home/sielicki/data/BC2_1072x712/S4/S4HD1/DSC_0226.JPG 0.038426 0.005967 0.004438 0.017809 0.014396 0.005090 0.001578 0.001901 0.005985 0.000470 0.026371 0.002762 0.008981 0.008258 0.030278 0.059669 0.033540 0.680362 0.033396 0.003300 0.017024
S7 0.586430 S1 S1 2.938595 4.174992 4.562468 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM2/DSC_0950.JPG 0.336528 0.001684 0.004499 0.002779 0.147858 0.043374 0.015815 0.004490 0.020449 0.012327 0.095579 0.034552 0.001221 0.001613 0.003488 0.002711 0.022297 0.002483 0.236035 0.006617 0.003602
S7 0.879283 S14 S7 3.647125 4.174992 4.561508 1 0 0 2.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM3/DSC_0122_01.JPG 0.001026 0.000520 0.003650 0.002130 0.002484 0.292492 0.011788 0.000570 0.132111 0.238054 0.005640 0.001814 0.001496 0.000387 0.001073 0.000125 0.001119 0.007194 0.295263 0.000880 0.000184
S7 0.989704 S7 S7 6.717872 4.174992 4.565185 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK3/DSC_0479.JPG 0.000043 0.000006 0.000028 0.000150 0.000034 0.000019 0.000034 0.000031 0.000173 0.000055 0.001852 0.000075 0.000123 0.000530 0.000072 0.000027 0.000042 0.000036 0.989704 0.006942 0.000023
