CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S19 0.999901 S19 S19 7.065638 4.156460 4.156460 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S19/S19MK1/DSC_0179_01.JPG 0.000003 0.000000 0.000001 0.000000 0.000003 0.000011 0.000000 0.000000 0.000007 0.000003 0.999901 0.000010 0.000011 0.000016 0.000003 0.000003 0.000002 0.000003 0.000017 0.000001 0.000002
S2 0.671201 S18 S18 3.889228 4.156460 4.156460 1 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2GL1/DSC_0952.JPG 0.002013 0.000170 0.001065 0.002752 0.001082 0.071151 0.020659 0.000776 0.004303 0.492685 0.006511 0.002648 0.111184 0.084323 0.010123 0.000237 0.002572 0.001358 0.182578 0.001465 0.000345
S7 0.418965 S2 S1 1.520661 4.156460 4.156460 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM1/DSC_0695.JPG 0.127440 0.004652 0.005669 0.007355 0.008865 0.011617 0.022999 0.038398 0.036635 0.051978 0.024406 0.224850 0.017418 0.008234 0.204344 0.026118 0.011886 0.008726 0.124499 0.026252 0.007657
S1 0.982098 S1 S1 6.765430 4.156460 4.156460 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0459.JPG 0.982098 0.000032 0.000114 0.000081 0.000333 0.001062 0.000613 0.000558 0.000500 0.000446 0.003119 0.000401 0.000184 0.000158 0.003863 0.000956 0.000492 0.000538 0.004160 0.000171 0.000122
S2 0.683965 S7 S1 -1.718173 4.156460 4.156460 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S2/S2NM2/DSC_0484.JPG 0.002454 0.001124 0.002251 0.011133 0.002122 0.007635 0.014429 0.003994 0.007167 0.161546 0.002738 0.237404 0.139055 0.050183 0.004245 0.003737 0.004138 0.002490 0.338749 0.002134 0.001272
S10 0.893447 S10 S10 6.856251 4.156460 4.156460 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK1/DSC_0232.JPG 0.000688 0.893447 0.008319 0.001204 0.000585 0.001831 0.000701 0.024090 0.001732 0.000835 0.000403 0.001498 0.001910 0.002250 0.004046 0.001396 0.046966 0.002535 0.000258 0.002306 0.002999
S10 0.303295 S5 S1 1.947594 4.156460 4.156460 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK4/DSC_0761_01.JPG 0.198612 0.028269 0.025125 0.034960 0.035976 0.011440 0.012964 0.009550 0.020844 0.005758 0.009251 0.021632 0.025836 0.010183 0.018016 0.018738 0.158446 0.022070 0.089808 0.208732 0.033789
S14 0.604315 S20 S6 2.857441 4.156460 4.156460 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S14/S14HD1/DSC_0570_01.JPG 0.002709 0.014460 0.004510 0.006182 0.008844 0.003880 0.002541 0.005838 0.001731 0.003777 0.002398 0.015163 0.178640 0.007975 0.103159 0.026642 0.229226 0.337685 0.034666 0.004745 0.005228
S7 0.683988 S7 S7 3.595337 4.156460 4.156460 1 0 0 4.000000 /home/sielicki/data/BC2_1072x712/S7/S7HD2/DSC_0328.JPG 0.005174 0.004431 0.021371 0.006997 0.001605 0.005935 0.014375 0.003434 0.012745 0.243314 0.004471 0.043458 0.029611 0.085307 0.004550 0.008385 0.014207 0.002497 0.477401 0.007356 0.003378
S11 0.325331 S2 S11 1.610628 4.156460 4.156460 0 0 0 2.000000 /home/sielicki/data/BC2_1072x712/S11/S11MK2/DSC_0374.JPG 0.007530 0.013494 0.316339 0.020438 0.011310 0.007495 0.006666 0.013375 0.022240 0.006908 0.008351 0.142939 0.024181 0.008471 0.274273 0.016434 0.016344 0.011050 0.041370 0.017478 0.013311
S1 0.500398 S1 S7 2.199618 4.156460 4.156460 0 0 0 5.000000 /home/sielicki/data/BC2_1072x712/S1/S1HD2/DSC_0109.JPG 0.372522 0.020090 0.016560 0.018459 0.011254 0.010841 0.024303 0.015490 0.029070 0.019079 0.024466 0.029283 0.037117 0.046406 0.017245 0.030025 0.066261 0.040313 0.115326 0.042070 0.013821
S11 0.909601 S11 S11 7.266840 4.156460 4.156460 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S11/S11MK1/DSC_0034_01.JPG 0.000434 0.001725 0.909601 0.001160 0.001120 0.000800 0.010836 0.003130 0.002664 0.001524 0.000645 0.022757 0.001990 0.001940 0.002194 0.001352 0.022798 0.001060 0.009927 0.001735 0.000609
S7 0.602091 S7 S4 1.576252 4.156460 4.156460 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK1/DSC_0456_01.JPG 0.011326 0.037025 0.047258 0.011720 0.012823 0.004480 0.042538 0.020326 0.009913 0.063618 0.009869 0.025995 0.036125 0.037709 0.039797 0.112885 0.077789 0.018383 0.355987 0.017307 0.007128
S5 0.764862 S5 S5 3.053566 4.156460 4.156460 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S5/S5MK2/DSC_0549.JPG 0.155439 0.008712 0.014949 0.005334 0.022990 0.013889 0.012068 0.010249 0.012732 0.004926 0.088069 0.036090 0.007805 0.009261 0.019488 0.031303 0.421272 0.005149 0.013432 0.083620 0.023223
S1 0.437414 S6 S6 2.061558 4.156460 4.156460 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK7/DSC_0309.JPG 0.022164 0.109784 0.020924 0.079784 0.023248 0.037748 0.008365 0.008276 0.011359 0.006155 0.013120 0.048838 0.068731 0.020884 0.038850 0.151451 0.099979 0.174071 0.015498 0.014071 0.026699
S1 0.371070 S1 S7 1.562374 4.156460 4.156460 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK6/DSC_0328.JPG 0.221969 0.010496 0.011464 0.028815 0.010898 0.010993 0.025823 0.017470 0.022224 0.046148 0.065848 0.026522 0.021899 0.094550 0.010063 0.045749 0.071382 0.021172 0.198563 0.026402 0.011550
S14 0.772811 S14 S14 4.234204 4.156460 4.156460 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S14/S14MK1/DSC_0761.JPG 0.008199 0.002121 0.002079 0.004537 0.004106 0.672176 0.166823 0.004510 0.007333 0.061574 0.001461 0.015112 0.021981 0.005612 0.002257 0.001025 0.003697 0.002366 0.009084 0.002844 0.001104
S1 0.769146 S7 S7 5.142270 4.156460 4.156460 1 1 1 0.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK6/DSC_0396.JPG 0.077576 0.002912 0.003548 0.008225 0.004558 0.014301 0.008672 0.025913 0.015190 0.011890 0.010018 0.060864 0.015851 0.017205 0.010175 0.021388 0.091760 0.006141 0.574060 0.014419 0.005333
S17 0.969437 S17 S17 6.328574 4.156460 4.156460 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S17/S17MK1/DSC_0886.JPG 0.000502 0.000291 0.000244 0.000633 0.000621 0.000601 0.000709 0.000834 0.850998 0.001274 0.000294 0.001704 0.001743 0.110975 0.001013 0.000524 0.000927 0.000869 0.008633 0.003010 0.013601
S2 0.713867 S18 S7 2.417177 4.156460 4.156460 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S2/S2NM2/DSC_0456.JPG 0.001967 0.000391 0.000894 0.007591 0.001533 0.011975 0.031062 0.001664 0.005926 0.218816 0.002165 0.180253 0.137374 0.009962 0.002337 0.001428 0.002483 0.001046 0.379411 0.001416 0.000307
S5 0.949768 S5 S5 6.613286 4.156460 4.156460 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S5/S5NM4/DSC_0748.JPG 0.002415 0.004778 0.002345 0.001621 0.002305 0.000474 0.000728 0.000618 0.000960 0.000413 0.000811 0.001800 0.006042 0.000863 0.100834 0.005534 0.822032 0.001767 0.002369 0.003907 0.037383
S5 0.824191 S5 S5 3.955714 4.156460 4.156460 1 0 0 5.000000 /home/sielicki/data/BC2_1072x712/S5/S5MK1/DSC_0251_01.JPG 0.002113 0.004386 0.003426 0.149894 0.001881 0.001281 0.004989 0.005306 0.002688 0.004517 0.001260 0.015568 0.011706 0.006911 0.008658 0.006884 0.637444 0.004515 0.113883 0.010206 0.002483
S5 0.879109 S5 S5 3.716881 4.156460 4.156460 1 0 0 6.000000 /home/sielicki/data/BC2_1072x712/S5/S5NM4/DSC_0697.JPG 0.010533 0.003329 0.003604 0.002520 0.027756 0.001178 0.002361 0.001998 0.002084 0.002082 0.001035 0.004097 0.003575 0.000996 0.152329 0.002043 0.753626 0.001347 0.007260 0.002916 0.013332
S3 0.977688 S3 S3 5.995970 4.156460 4.156460 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S3/S3HD1/DSC_0960.JPG 0.000449 0.000832 0.002254 0.000433 0.001183 0.000591 0.000625 0.004549 0.000778 0.000457 0.000320 0.004469 0.000808 0.000413 0.876175 0.000675 0.093018 0.000914 0.001040 0.008907 0.001111
S16 0.988992 S16 S16 6.283114 4.156460 4.156460 1 1 1 4.000000 /home/sielicki/data/BC2_1072x712/S16/S16MK1/DSC_0382.JPG 0.003325 0.002901 0.001131 0.001195 0.001817 0.002572 0.005097 0.606726 0.003585 0.087259 0.001281 0.103201 0.003367 0.001461 0.153211 0.008606 0.003946 0.001122 0.002720 0.003096 0.002379
S1 0.704605 S6 S6 3.515550 4.156460 4.156460 1 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK7/DSC_0302.JPG 0.012358 0.067603 0.004769 0.106722 0.007990 0.020951 0.004219 0.010723 0.007181 0.003310 0.018419 0.044120 0.133713 0.013449 0.146831 0.046777 0.035730 0.250110 0.016586 0.005864 0.042576
