CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName AN CE DS HP NE SA SC SR
AN 0.910346 DS AN 0.462057 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.072197 0.000046 0.910346 0.000939 0.000031 0.016091 0.000217 0.000132
AN 0.806925 AN CE 0.316159 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.806925 0.000168 0.053037 0.121578 0.000362 0.015054 0.000176 0.002700
AN 0.508996 DS AN 0.282028 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.319288 0.000627 0.508996 0.096035 0.000784 0.072740 0.000459 0.001071
AN 0.983597 DS DS 0.559704 0.535869 0.535869 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.015333 0.000018 0.983597 0.000398 0.000004 0.000520 0.000112 0.000017
AN 0.650185 DS AN 0.334095 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.343305 0.000073 0.650185 0.001804 0.000032 0.003695 0.000763 0.000142
AN 0.961805 DS DS 0.508921 0.535869 0.535869 1 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.036022 0.000055 0.961805 0.000865 0.000010 0.000818 0.000383 0.000041
AN 0.997408 DS DS 0.745442 0.535869 0.535869 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.001497 0.000014 0.997408 0.000394 0.000002 0.000609 0.000043 0.000032
AN 0.917745 DS AN 0.415200 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.056851 0.000166 0.917745 0.016944 0.000099 0.007983 0.000090 0.000122
AN 0.933605 DS AN 0.403556 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.030392 0.000238 0.933605 0.006707 0.000119 0.028515 0.000205 0.000219
AN 0.512480 SA AN 0.351891 0.535869 0.535869 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.212345 0.001262 0.261418 0.001888 0.000450 0.512480 0.008947 0.001208
