CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName AN CE DS HP NE SA SC SR
AN 0.889885 AN HP 1.409980 3.583953 3.583953 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.568584 0.000697 0.262502 0.140579 0.000059 0.003806 0.021127 0.002647
AN 0.877837 AN AN 4.231942 3.583953 3.519954 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.760076 0.000288 0.046584 0.188163 0.000087 0.002939 0.001249 0.000616
AN 0.893054 AN AN 6.811907 3.583953 3.558247 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.811088 0.000196 0.100697 0.073921 0.000158 0.012265 0.001087 0.000589
AN 0.793883 AN DS 2.422883 3.583953 3.562977 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.578999 0.000755 0.295425 0.100372 0.000100 0.002689 0.020121 0.001539
AN 0.630828 DS DS 3.272426 3.583953 3.565895 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.437098 0.001024 0.345366 0.105149 0.000233 0.010003 0.098540 0.002587
AN 0.699129 DS AN 2.583732 3.583953 3.550160 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.306935 0.000970 0.564318 0.068537 0.000247 0.007632 0.049704 0.001657
AN 0.766090 AN DS 2.325018 3.583953 3.550972 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.464185 0.001493 0.474269 0.048708 0.000124 0.004847 0.004852 0.001522
AN 0.631981 HP HP 3.090905 3.583953 3.534775 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.383291 0.001137 0.274626 0.331318 0.000121 0.003622 0.001904 0.003981
AN 0.911176 DS HP 2.200121 3.583953 3.526230 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.204400 0.001379 0.505613 0.265705 0.000201 0.015759 0.003142 0.003800
AN 0.644437 AN DS 2.508722 3.583953 3.532348 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.249946 0.008113 0.399341 0.011369 0.000697 0.085130 0.201425 0.043979
AN 0.833126 DS SR 1.828394 3.583953 3.527225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0523.JPG 0.052863 0.014287 0.531361 0.104351 0.000929 0.105990 0.041673 0.148544
AN 0.938294 SA SC 1.257441 3.583953 3.534421 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0524.JPG 0.077495 0.121212 0.151307 0.084261 0.004248 0.333929 0.175517 0.052031
AN 0.971034 DS HP 0.659935 3.583953 3.526155 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0525.JPG 0.091616 0.038326 0.499937 0.130559 0.043922 0.151219 0.030500 0.013920
AN 0.722456 DS SA 0.640708 3.583953 3.532343 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0526.JPG 0.040945 0.046811 0.571851 0.126954 0.022387 0.147369 0.029504 0.014178
AN 0.852745 DS AN 0.130720 3.583953 3.506053 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0527.JPG 0.100293 0.009992 0.559298 0.164971 0.035055 0.034532 0.062698 0.033161
AN 0.727396 DS AN 0.890338 3.583953 3.516268 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0529.JPG 0.425679 0.000664 0.480825 0.053287 0.000156 0.006470 0.032027 0.000891
AN 0.724228 DS AN 3.221252 3.583953 3.511379 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0530.JPG 0.256761 0.001416 0.621737 0.030901 0.000325 0.013592 0.072918 0.002351
AN 0.652038 DS CE 0.672459 3.583953 3.510215 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0531.JPG 0.010549 0.185233 0.284081 0.039724 0.007233 0.465331 0.005348 0.002500
AN 0.787793 DS HP 0.089251 3.583953 3.514983 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0532.JPG 0.008875 0.045442 0.468915 0.116017 0.005178 0.351964 0.002395 0.001214
AN 0.790459 DS HP 0.060600 3.583953 3.509057 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0533.JPG 0.004465 0.006702 0.403120 0.080783 0.002083 0.501135 0.001217 0.000495
