CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S7 0.727872 S7 S7 2.619393 4.184390 4.184390 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S7/S7MK2/DSC_0588.JPG 0.126511 0.003269 0.004169 0.004913 0.155443 0.008607 0.034498 0.181290 0.006232 0.001510 0.004181 0.019022 0.002555 0.002520 0.003642 0.001550 0.013345 0.001363 0.329881 0.089805 0.005695
S3 0.918766 S3 S3 5.993501 4.184390 4.184390 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK4/DSC_0272_01.JPG 0.000688 0.003052 0.089693 0.000371 0.001152 0.000627 0.001788 0.006389 0.001116 0.013943 0.005635 0.012991 0.001935 0.002998 0.819907 0.001874 0.005862 0.000805 0.004557 0.008035 0.016583
S4 0.587277 S4 S7 3.022893 4.184390 4.184390 0 0 0 5.000000 /home/sielicki/data/BC2_1072x712/S4/S4NM2/DSC_0652.JPG 0.006105 0.057791 0.003708 0.135383 0.012394 0.002331 0.004080 0.004176 0.006638 0.004015 0.002548 0.008024 0.014635 0.039918 0.005102 0.454214 0.009552 0.017954 0.186611 0.018704 0.006115
S19 0.997622 S19 S19 7.106524 4.184390 4.184390 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S19/S19GL1/DSC_0777.JPG 0.000102 0.000041 0.000060 0.000007 0.000400 0.000148 0.000014 0.000046 0.000074 0.000050 0.997622 0.000063 0.000058 0.000185 0.000065 0.000505 0.000335 0.000031 0.000129 0.000026 0.000040
S4 0.624196 S6 S4 3.383157 4.184390 4.184390 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S4/S4HD1/DSC_0236.JPG 0.115787 0.008554 0.005103 0.009143 0.019810 0.007306 0.002851 0.004717 0.015093 0.003103 0.013268 0.005370 0.033723 0.008144 0.031138 0.138932 0.067085 0.453573 0.028971 0.008331 0.020000
S1 0.634404 S6 S1 0.335546 4.184390 4.184390 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK7/DSC_0376.JPG 0.043306 0.036641 0.007340 0.012081 0.146820 0.005518 0.002445 0.005854 0.008912 0.012041 0.054295 0.003003 0.056986 0.047923 0.024208 0.085544 0.095576 0.233146 0.013750 0.052180 0.052429
S1 0.541595 S1 S10 -0.249780 4.184390 4.184390 0 0 0 4.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK3/DSC_0357.JPG 0.339239 0.012251 0.010252 0.003856 0.154438 0.019720 0.013639 0.030367 0.009514 0.003795 0.101025 0.009376 0.027219 0.004228 0.011084 0.026303 0.110606 0.007345 0.056885 0.020773 0.028085
S7 0.933123 S7 S7 6.764683 4.184390 4.184390 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S7/S7NM4/DSC_0048.JPG 0.003697 0.000548 0.000311 0.017351 0.000738 0.005639 0.002015 0.001212 0.013826 0.103211 0.001701 0.000872 0.007212 0.001208 0.002210 0.001252 0.000732 0.000377 0.835383 0.000372 0.000132
S7 0.637590 S1 S5 2.098893 4.184390 4.184390 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM2/DSC_0940.JPG 0.322854 0.004138 0.011709 0.002109 0.011832 0.103699 0.035723 0.033836 0.089435 0.013432 0.005553 0.011704 0.009269 0.008457 0.023531 0.003103 0.171580 0.010151 0.086887 0.039219 0.001778
S3 0.759406 S3 S3 2.525039 4.184390 4.184390 0 0 0 3.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK5/DSC_0512_01.JPG 0.059531 0.008507 0.003877 0.007995 0.020869 0.010651 0.009909 0.007104 0.006503 0.048785 0.005706 0.005906 0.195498 0.123356 0.330855 0.008796 0.006886 0.032480 0.096262 0.004027 0.006497
S12 0.571171 S1 S1 5.021901 4.184390 4.184390 1 1 1 0.000000 /home/sielicki/data/BC2_1072x712/S12/S12MK1/DSC_0272.JPG 0.571171 0.039258 0.017398 0.013481 0.034247 0.004944 0.032390 0.009121 0.013946 0.005935 0.005020 0.003818 0.044933 0.047208 0.005546 0.040712 0.040357 0.013323 0.020853 0.024529 0.011812
S7 0.804951 S1 S1 3.749317 4.184390 4.184390 1 0 0 2.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM1/DSC_0700.JPG 0.479625 0.008964 0.004651 0.002802 0.008395 0.005377 0.006215 0.010592 0.028134 0.018259 0.008857 0.018333 0.014717 0.004505 0.033286 0.015394 0.030783 0.006900 0.277360 0.012452 0.004398
S3 0.785655 S3 S3 4.921053 4.184390 4.184390 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK4/DSC_0284_01.JPG 0.047337 0.006673 0.061995 0.004338 0.010681 0.012414 0.014231 0.013499 0.006075 0.009260 0.003377 0.003741 0.072000 0.010936 0.677890 0.008067 0.017998 0.006238 0.004875 0.004601 0.003773
