CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName AN CE DS HP NE SA SC SR
SR 0.882690 SR AN 2.724116 3.592942 3.592942 0 0 0 6.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK3/S10MK3SR/DSC_0115.JPG 0.160711 0.000016 0.000491 0.001047 0.000852 0.000130 0.058911 0.777842
AN 0.747432 SR HP 1.879948 3.592942 3.592942 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S19/S19MK1/S19MK1AN/DSC_0164_01.JPG 0.053177 0.006094 0.088956 0.229692 0.067712 0.021359 0.060481 0.472528
HP 0.805117 HP SA 2.057674 3.592942 3.592942 0 0 0 6.000000 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1HP/DSC_0045.JPG 0.019300 0.024133 0.038512 0.712134 0.008308 0.086198 0.007070 0.104344
CE 0.777607 CE AN 2.354993 3.592942 3.592942 0 0 0 7.000000 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2CE/DSC_0264.JPG 0.003597 0.777607 0.031321 0.014315 0.009931 0.157258 0.001138 0.004833
SR 0.467758 HP SA 0.955677 3.592942 3.592942 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM1/S7FM1SR/DSC_0773.JPG 0.211235 0.028904 0.046539 0.277101 0.012141 0.148440 0.107929 0.167711
NE 0.658464 HP SA 1.143903 3.592942 3.592942 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK5/S3MK5NE/DSC_0395_01.JPG 0.068872 0.015309 0.066610 0.385716 0.010025 0.150444 0.145067 0.157956
SR 0.648251 AN NE 2.627539 3.592942 3.592942 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3HD1/S3HD1SR/DSC_0977.JPG 0.422011 0.005554 0.103003 0.062410 0.252442 0.051813 0.013507 0.089259
AN 0.982900 NE SA 1.718297 3.592942 3.592942 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1HD2/S1HD2AN/DSC_0177.JPG 0.114011 0.001449 0.001115 0.000472 0.736849 0.134094 0.002208 0.009803
SC 0.431729 DS AN 0.003395 3.592942 3.592942 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK2/S3MK2SC/DSC_0741.JPG 0.167129 0.079626 0.210571 0.363010 0.002350 0.022056 0.058938 0.096320
SC 0.866467 SC AN 2.289014 3.592942 3.592942 0 0 0 4.000000 /home/sielicki/data/BC2E_1072x712/S3/S3HD2/S3HD2SC/DSC_0961.JPG 0.179462 0.002397 0.083923 0.159151 0.001682 0.018231 0.534484 0.020670
