CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName AN CE DS HP NE SA SC SR
SA 0.817096 SR SR 4.622087 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK3/S10MK3SA/DSC_0056.JPG 0.026674 0.003201 0.152636 0.048425 0.136529 0.083466 0.070990 0.478080
SA 0.863459 CE CE 4.687973 3.497842 3.497842 1 1 1 1.000000 /home/sielicki/data/BC2E_1072x712/S3/S3HD2/S3HD2SA/DSC_0892.JPG 0.021518 0.748209 0.071948 0.003165 0.002079 0.141870 0.009460 0.001752
NE 0.820257 SA SA 4.512687 3.497842 3.497842 1 1 1 0.000000 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1NE/DSC_0014.JPG 0.122624 0.031699 0.285081 0.034669 0.003457 0.503957 0.013315 0.005199
NE 0.880082 SA NE 2.470984 3.497842 3.497842 0 0 0 2.000000 /home/sielicki/data/BC2E_1072x712/S14/S14MK1/S14MK1NE/DSC_0716.JPG 0.019567 0.009398 0.152780 0.075401 0.310448 0.416626 0.002601 0.013179
AN 0.539502 SA AN 0.464882 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK1/S10MK1AN/DSC_0227.JPG 0.154725 0.014893 0.068935 0.294045 0.089483 0.255011 0.021728 0.101181
HP 0.663500 DS NE 1.997257 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S7/S7MK3/S7MK3HP/DSC_0460.JPG 0.169096 0.002236 0.223896 0.182638 0.275415 0.115299 0.011974 0.019446
SA 0.916290 AN AN 2.710154 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S4/S4MK1/S4MK1SA/DSC_0529.JPG 0.643707 0.000522 0.145775 0.059342 0.017332 0.008403 0.031276 0.093643
HP 0.981785 HP HP 7.929261 3.497842 3.497842 1 1 1 7.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK2/S10MK2HP/DSC_0965_01.JPG 0.000802 0.000066 0.016097 0.981785 0.000088 0.000046 0.000103 0.001012
DS 0.671032 AN HP 2.025064 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK3/S3MK3DS/DSC_0344_01.JPG 0.411640 0.021330 0.147561 0.328759 0.013932 0.062700 0.007673 0.006405
SR 0.823767 SR SC 3.175247 3.497842 3.497842 0 0 0 5.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK3/S1MK3SR/DSC_0448.JPG 0.005281 0.000051 0.008002 0.003658 0.000122 0.000231 0.389936 0.592719
SR 0.784396 SR SR 6.235185 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2SR/DSC_0781.JPG 0.005551 0.002871 0.000715 0.028455 0.081912 0.004071 0.200873 0.675552
CE 0.948914 CE CE 5.650273 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S10/S10MK1/S10MK1CE/DSC_0194.JPG 0.003002 0.818538 0.148722 0.013145 0.000412 0.003016 0.001124 0.012042
NE 0.759556 DS DS 3.098952 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S7/S7FM2/S7FM2NE/DSC_0852.JPG 0.216106 0.008601 0.408007 0.055203 0.001548 0.012755 0.222306 0.075474
NE 0.950962 NE NE 6.264307 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S7/S7NM4/S7NM4NE/DSC_0902.JPG 0.000095 0.000050 0.000003 0.000482 0.820496 0.026843 0.046238 0.105793
SR 0.862307 HP AN -0.542865 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK3/S3MK3SR/DSC_0314_01.JPG 0.232889 0.002437 0.159807 0.535315 0.005746 0.055217 0.000887 0.007702
SA 0.738706 AN HP -0.099476 3.497842 3.497842 0 0 0 0.000000 /home/sielicki/data/BC2E_1072x712/S3/S3MK1/S3MK1SA/DSC_0080_01.JPG 0.380186 0.001743 0.243799 0.166120 0.142498 0.035346 0.026922 0.003386
HP 0.923971 HP HP 5.854591 3.497842 3.497842 1 1 1 6.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK5/S1MK5HP/DSC_0653_01.JPG 0.189668 0.000047 0.000601 0.793161 0.000069 0.000046 0.000617 0.015791
DS 0.955236 DS DS 5.541802 3.497842 3.497842 1 1 1 5.000000 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1DS/DSC_0539_01.JPG 0.188616 0.000624 0.782992 0.006465 0.000144 0.016349 0.004295 0.000517
DS 0.791838 SR HP 3.334269 3.497842 3.497842 0 0 0 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1MK7/S1MK7DS/DSC_0358.JPG 0.002133 0.000125 0.165303 0.356076 0.006652 0.008305 0.008196 0.453209
