CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S3 0.969330 S3 S3 6.956337 4.170570 4.170570 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK1/DSC_0093_01.JPG 0.000040 0.000708 0.000652 0.000288 0.001431 0.000069 0.000172 0.002146 0.000299 0.000297 0.000124 0.007826 0.000278 0.000077 0.969330 0.000386 0.001186 0.000452 0.012179 0.001094 0.000964
S4 0.876863 S6 S6 2.829859 4.170570 4.170570 0 0 0 2.000000 /home/sielicki/data/BC2_1072x712/S4/S4GL1/DSC_0430.JPG 0.014296 0.001930 0.002029 0.000800 0.002130 0.002827 0.000445 0.001479 0.003449 0.013489 0.001626 0.040970 0.010395 0.038146 0.004097 0.257438 0.042896 0.538641 0.009141 0.000488 0.013288
S2 0.829046 S7 S7 4.661667 4.170570 4.170570 1 1 1 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2HD1/DSC_0075.JPG 0.002021 0.001996 0.007909 0.016031 0.002159 0.012260 0.012089 0.000957 0.001671 0.001262 0.002721 0.001412 0.156647 0.019194 0.097300 0.001819 0.000860 0.007466 0.633860 0.016575 0.003792
S7 0.826991 S7 S7 5.924078 4.170570 4.170570 1 1 1 6.000000 /home/sielicki/data/BC2_1072x712/S7/S7HD2/DSC_0315.JPG 0.000114 0.000135 0.000182 0.000558 0.000266 0.000287 0.000405 0.000199 0.000674 0.242931 0.002380 0.000382 0.034707 0.005970 0.000311 0.000113 0.000148 0.000069 0.710025 0.000089 0.000056
S2 0.579134 S7 S21 1.067942 4.170570 4.170570 0 0 0 0.000000 /home/sielicki/data/BC2_1072x712/S2/S2GL1/DSC_0006.JPG 0.004074 0.000187 0.001450 0.002241 0.001660 0.042222 0.085905 0.000651 0.001789 0.023376 0.014551 0.002600 0.283796 0.179988 0.004846 0.001438 0.000267 0.001436 0.311613 0.034788 0.001124
S3 0.968124 S3 S3 7.003813 4.170570 4.170570 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK2/DSC_0697.JPG 0.000052 0.001544 0.000519 0.000229 0.000613 0.000135 0.000149 0.001418 0.000372 0.000218 0.000144 0.012491 0.000531 0.000155 0.968124 0.000895 0.001905 0.000974 0.004471 0.000534 0.004528
S3 0.999971 S3 S3 6.975132 4.170570 4.170570 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK3/DSC_0355_01.JPG 0.000000 0.000001 0.000004 0.000000 0.000001 0.000000 0.000001 0.000002 0.000002 0.000001 0.000000 0.000002 0.000001 0.000000 0.999971 0.000001 0.000005 0.000001 0.000001 0.000001 0.000004
S10 0.997370 S10 S10 6.977460 4.170570 4.170570 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S10/S10MK1/DSC_0243.JPG 0.000097 0.997370 0.000115 0.000027 0.000093 0.000264 0.000007 0.000652 0.000012 0.000345 0.000010 0.000036 0.000010 0.000089 0.000010 0.000006 0.000492 0.000010 0.000146 0.000147 0.000063
S1 0.685260 S10 S11 1.209007 4.170570 4.170570 0 0 0 1.000000 /home/sielicki/data/BC2_1072x712/S1/S1MK3/DSC_0362.JPG 0.151108 0.237029 0.126962 0.012851 0.098140 0.031157 0.002256 0.015913 0.018918 0.003990 0.008484 0.066007 0.011291 0.005148 0.012859 0.048186 0.009780 0.011783 0.002753 0.008255 0.117128
S20 0.633158 S17 S20 1.578940 4.170570 4.170570 0 0 0 2.000000 /home/sielicki/data/BC2_1072x712/S20/S20MK1/DSC_0229.JPG 0.080330 0.003924 0.002142 0.054466 0.005719 0.081997 0.000800 0.000509 0.188307 0.004534 0.006406 0.002259 0.343682 0.060673 0.005418 0.002161 0.001495 0.066566 0.081799 0.004128 0.002686
S3 0.933510 S3 S3 6.913248 4.170570 4.170570 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S3/S3MK2/DSC_0833.JPG 0.000122 0.000719 0.000569 0.000261 0.000710 0.000120 0.000205 0.004569 0.000352 0.000342 0.000142 0.040120 0.000608 0.000157 0.933510 0.002162 0.002947 0.001208 0.008484 0.001582 0.001114
S7 0.859504 S7 S7 3.028232 4.170570 4.170570 0 0 0 4.000000 /home/sielicki/data/BC2_1072x712/S7/S7FM2/DSC_0911.JPG 0.194399 0.000220 0.006270 0.000063 0.002362 0.194599 0.000194 0.000556 0.079015 0.001916 0.006065 0.001624 0.000172 0.000910 0.006356 0.002078 0.003737 0.000677 0.498134 0.000273 0.000383
